date,strategy,rank,symbol,score,close,target_weight,return_20d,relative_return_20d,volatility_20d
2026-07-02,momentum_20d,1,PANW,0.24116537691816298,348.0599975585937,0.19,0.24116537691816298,0.2511638240669448,0.030040813905584284
2026-07-02,momentum_20d,2,KMB,0.22726593066198642,114.72000122070312,0.19,0.22726593066198642,0.23726437781076826,0.020063491830612734
2026-07-02,momentum_20d,3,AMAT,0.20422547528278434,603.0399780273438,0.19,0.20422547528278434,0.21422392243156618,0.06969692997662072
2026-07-02,momentum_20d,4,ABBV,0.20236725212216133,261.07000732421875,0.19,0.20236725212216133,0.21236569927094318,0.023494221086411367
2026-07-02,momentum_20d,5,GE,0.19984735392125264,377.5199890136719,0.19,0.19984735392125264,0.20984580107003448,0.019080948700822213
