date,strategy,rank,symbol,score,close,target_weight,return_20d,relative_return_20d,volatility_20d
2026-07-02,model_momentum_blend,1,ABBV,0.9458762886597938,261.07000732421875,0.19,0.20236725212216133,0.21236569927094318,0.023494221086411367
2026-07-02,model_momentum_blend,2,GE,0.9252577319587629,377.5199890136719,0.19,0.19984735392125264,0.20984580107003448,0.019080948700822213
2026-07-02,model_momentum_blend,3,KMB,0.8737113402061856,114.72000122070312,0.19,0.22726593066198642,0.23726437781076826,0.020063491830612734
2026-07-02,model_momentum_blend,4,BAC,0.8685567010309279,58.72999954223633,0.19,0.1266249133574684,0.13662336050625024,0.012317137984381485
2026-07-02,model_momentum_blend,5,JNJ,0.8479381443298968,263.0400085449219,0.19,0.17828347102856767,0.18828191817734952,0.018078327802636317
