date,symbol,side,shares,price
2024-03-14,PANW,sell,2.4607756376574343,143.7899932861328
2024-03-14,BA,buy,112.26601569765336,181.1499938964844
2024-03-14,DIS,buy,185.15341844174733,109.8385772705078
2024-03-14,AMGN,buy,79.59929886197685,255.49205017089844
2024-03-14,ORCL,buy,165.33221087377305,122.51502990722656
2024-03-21,PANW,sell,141.4353502190047,143.81500244140625
2024-03-21,BA,sell,112.26601569765336,187.6999969482422
2024-03-21,DIS,sell,185.15341844174733,114.3865966796875
2024-03-21,AMGN,sell,79.59929886197685,260.582275390625
2024-03-21,ORCL,sell,165.33221087377305,125.91143798828124
2024-03-21,MU,buy,191.13902560415536,108.9796371459961
2024-03-21,LIN,buy,45.843422202796425,454.37841796875
2024-03-21,CL,buy,247.19139469780816,84.26774597167969
2024-03-21,WMT,buy,345.85854254045626,60.227691650390625
2024-03-21,ADBE,buy,40.54017094598636,511.25
2024-03-28,LIN,sell,45.843422202796425,452.4490661621094
2024-03-28,CL,sell,247.19139469780816,85.48283386230469
2024-03-28,WMT,sell,345.85854254045626,58.973148345947266
2024-03-28,MU,sell,11.583472629229192,117.06883239746094
2024-03-28,ADBE,buy,1.117297708389465,504.6000061035156
2024-03-28,PANW,buy,147.96296467122335,142.06500244140625
2024-03-28,RTX,buy,223.97213779098064,93.8525619506836
2024-03-28,AAPL,buy,123.32336615716537,169.93345642089844
2024-04-05,MU,sell,179.55555297492617,122.71920776367188
2024-04-05,RTX,sell,223.97213779098064,97.855712890625
2024-04-05,AAPL,sell,123.32336615716537,168.05059814453125
2024-04-05,PANW,buy,7.848433182429147,134.5050048828125
2024-04-05,ADBE,buy,1.543003476320031,485.1199951171875
2024-04-05,INTC,buy,547.0426363260176,38.31038284301758
2024-04-05,TSLA,buy,127.09165315226963,164.89999389648438
2024-04-05,SHOP,buy,277.53412667476516,75.27999877929688
2024-04-12,INTC,sell,547.0426363260176,35.321556091308594
2024-04-12,TSLA,sell,127.09165315226963,171.0500030517578
2024-04-12,SHOP,sell,277.53412667476516,70.0
2024-04-12,MCD,buy,80.5135484174183,255.13934326171875
2024-04-12,ADBE,buy,0.12922059762318838,474.0899963378906
2024-04-12,PANW,sell,8.592611687031905,139.53500366210938
2024-04-12,NKE,buy,233.15974724402955,88.10343170166016
2024-04-12,BA,buy,120.79337388937132,169.5500030517578
2024-04-19,PANW,sell,147.2187861666206,138.85499572753906
2024-04-19,MCD,sell,80.5135484174183,259.52850341796875
2024-04-19,NKE,sell,233.15974724402955,90.52628326416016
2024-04-19,TSLA,buy,140.23395132258943,147.0500030517578
2024-04-19,UBER,buy,297.9971658867343,69.19999694824219
