test_year,model_preset,score_mode,model_weight,accuracy,precision,roc_auc,train_rows,test_rows,backtest_total_return,backtest_benchmark_return,backtest_excess_return,backtest_max_drawdown,backtest_sharpe,backtest_ending_equity,trade_count
2022,balanced_gbdt,model_momentum_blend,0.25,0.5097958680740954,0.5242889198859846,0.5090568864421583,85051,24347,-0.2642697704221224,-0.18646414002950962,-0.07780563039261279,-0.3480743343615813,-0.9398219628046587,73573.02295778776,433
2023,balanced_gbdt,model_momentum_blend,0.25,0.49552558868406943,0.47889268328126133,0.4945808783367331,109398,24249,0.17756664385681753,0.26709219554611563,-0.0895255516892981,-0.3021843020176864,0.8811577614110737,117756.66438568175,412
2024,balanced_gbdt,model_momentum_blend,0.25,0.5159548355424645,0.4911596699610119,0.5191476724949664,133647,24444,0.3101096200050739,0.2558931896202161,0.054216430384857794,-0.10837584006129364,1.2751311557653338,131010.96200050738,419
2025,balanced_gbdt,model_momentum_blend,0.25,0.5091576602590545,0.5096335078534031,0.5221617555091254,158091,24242,0.17128515929160337,0.18009014616634134,-0.008804986874737963,-0.21102957900904684,0.8072594119617776,117128.51592916033,410
2026,balanced_gbdt,model_momentum_blend,0.25,0.48936447866370875,0.4831788079470199,0.485453378117744,182333,7663,0.13795790330364222,0.0496993882771819,0.08825851502646032,-0.10660431563484907,1.6512561569499886,113795.79033036422,131
