date,symbol,side,shares,price
2024-01-02,IBM,buy,132.3816650505112,151.0783233642578
2024-01-02,V,buy,78.56400591076184,254.5695037841797
2024-01-02,CSCO,buy,423.92224620703,47.178462982177734
2024-01-02,JPM,buy,122.69236886078312,163.0093231201172
2024-01-02,LMT,buy,46.45020010777645,429.4927673339844
2024-01-09,LMT,buy,0.0,429.65289306640625
2024-01-09,JPM,buy,0.0,162.66107177734375
2024-01-09,V,sell,1.3308941183930898,258.9554138183594
2024-01-09,CSCO,buy,1.7822682495895492,46.98078536987305
2024-01-09,IBM,buy,1.173823848103126,149.74998474121094
2024-01-17,IBM,sell,133.55548889861433,155.36277770996094
2024-01-17,JPM,sell,122.69236886078312,159.25839233398438
2024-01-17,LMT,sell,46.45020010777645,429.8224487304687
2024-01-17,LIN,buy,50.98723608670808,395.1824035644531
2024-01-17,V,sell,0.38638919028650776,262.20062255859375
2024-01-17,KMB,buy,178.47601231890818,112.89617156982422
2024-01-17,ABT,buy,184.38200462812148,108.91482543945312
2024-01-24,KMB,sell,178.47601231890818,108.06246948242188
2024-01-24,ABT,sell,184.38200462812148,105.89392852783205
2024-01-24,V,sell,2.1440357228442366,267.1372375488281
2024-01-24,LIN,buy,0.1989949178681627,389.867919921875
2024-01-24,CSCO,sell,12.527794759798212,48.29862976074219
2024-01-24,MA,buy,46.09031358153822,432.9731750488281
2024-01-24,KO,buy,361.1438177853888,55.146728515625
2024-01-31,V,sell,74.702686879238,268.720458984375
2024-01-31,CSCO,sell,413.17671969682135,47.23494338989258
2024-01-31,LIN,sell,0.19948043893806044,393.3170166015625
2024-01-31,JNJ,buy,134.8992800473605,148.6587371826172
2024-01-31,MA,sell,0.8591263826591842,443.3656921386719
2024-01-31,KO,sell,1.0419839084561886,55.68968200683594
2024-01-31,MRK,buy,177.9358448459002,112.4780044555664
2024-02-07,LIN,sell,50.98675056563818,404.9756774902344
2024-02-07,KO,sell,360.10183387693263,56.157737731933594
2024-02-07,MRK,sell,177.9358448459002,118.7081527709961
2024-02-07,JNJ,buy,3.872797039052557,147.79800415039062
2024-02-07,COST,buy,28.808136225507074,711.9598388671875
2024-02-07,PEP,buy,129.52450640236395,158.35023498535156
2024-02-07,MA,sell,0.24077839062603346,455.8801879882813
2024-02-07,WMT,buy,370.7795383355778,55.14911651611328
2024-02-14,PEP,sell,129.52450640236395,154.7024688720703
2024-02-14,JNJ,buy,1.027533610314805,145.702392578125
2024-02-14,MA,sell,0.6245471264317644,459.1173706054687
2024-02-14,KO,buy,363.12758237644306,55.50245666503906
2024-02-14,COST,sell,0.2932605970361166,714.333740234375
2024-02-22,MA,sell,44.36586168182124,465.4042053222656
2024-02-22,COST,sell,28.514875628470957,726.4210205078125
2024-02-22,WMT,sell,370.7795383355778,57.11245346069336
2024-02-22,KO,sell,363.12758237644306,57.24363327026367
2024-02-22,RTX,buy,243.00284743578936,86.15422058105469
2024-02-22,JNJ,sell,1.3802945290161404,151.24855041503906
2024-02-22,PG,buy,138.30941904729562,151.3687286376953
2024-02-22,LMT,buy,51.84002878014811,403.8524169921875
2024-02-22,ABBV,buy,127.42301649962592,163.64488220214844
2024-02-29,JNJ,sell,138.4193161677117,152.12522888183594
2024-02-29,LMT,sell,51.84002878014811,406.1989135742187
2024-02-29,ABBV,sell,127.42301649962592,162.9967803955078
2024-02-29,RTX,sell,0.6150641486958648,86.2889404296875
2024-02-29,PG,buy,1.2739675426792587,149.8415069580078
2024-02-29,JPM,buy,117.93996620212766,177.33924865722656
2024-02-29,COST,buy,28.425060885139157,735.8079223632812
2024-02-29,KMB,buy,187.98228772113308,110.92789459228516
2024-03-07,JPM,sell,117.93996620212766,179.06442260742188
2024-03-07,COST,sell,28.425060885139157,777.0548706054688
