symbol,date,close,high,low,open,volume
COST,2018-01-02,167.9869384765625,170.09211423399532,166.5775307659453,167.01461634450712,2509300
COST,2018-01-03,170.00291442871094,171.358802527041,168.04045305111586,168.43294804889177,3364400
COST,2018-01-04,168.6827850341797,171.53727673120736,167.30905197257601,171.2696651571413,3525800
COST,2018-01-05,167.47850036621094,169.20011037450715,166.55971128000232,168.97710305045095,2819000
COST,2018-01-08,168.12965393066406,168.57566851508105,167.03246186415808,167.0949104393932,1961800
COST,2018-01-09,166.17608642578125,168.8611025886552,166.05120290271384,168.6024065407621,2241900
COST,2018-01-10,165.4000701904297,166.13154074550363,164.02635106555365,165.694441491036,2609500
COST,2018-01-11,168.9324951171875,170.08320680211793,165.0521626327913,165.40896887010533,4678600
COST,2018-01-12,171.1268768310547,171.43016348945693,169.4855463853993,169.5747547490636,3499500
COST,2018-01-16,170.85035705566406,172.01891316726147,170.27945889384222,171.58182755649392,2006600
COST,2018-01-17,171.52828979492188,171.76914149136783,170.68086477265408,171.74238170412778,2585200
COST,2018-01-18,170.83251953125,172.18840782434634,170.57383703353082,171.47478169054372,1908000
COST,2018-01-19,171.52828979492188,171.84050546110313,170.52030604921376,171.01092483409053,2353800
COST,2018-01-22,173.39263916015625,173.7316009983485,171.32312489576626,171.71561991910127,3009100
COST,2018-01-23,172.53628540039062,173.1428723313401,171.33205415295672,172.70577312538072,2316400
COST,2018-01-24,173.2677764892578,173.72270653313237,171.20717736852882,173.43725062312618,2799200
COST,2018-01-25,176.57717895507812,177.02319355896125,173.71377282046825,173.9456955144247,3558700
COST,2018-01-26,177.43353271484375,177.7189749830283,174.56119758128256,176.39877556869308,2756200
COST,2018-01-29,176.90724182128906,178.29880522965257,176.22929090141966,176.95183239335563,2031100
COST,2018-01-30,176.54150390625,177.3264803539905,174.9090888214766,176.2560480261367,2285000
COST,2018-01-31,173.82968139648438,177.0409911397991,173.1428288882525,176.12220238765553,2682300
COST,2018-02-01,172.5808868408203,174.30249662776941,171.66209787274025,172.52736726773372,2096600
COST,2018-02-02,170.36871337890625,172.69691084010623,170.1992256017964,170.60063614104683,2386600
COST,2018-02-05,163.03619384765625,171.35882858841617,162.82210192232225,170.07430425898502,3407200
COST,2018-02-06,165.03428649902344,165.23946297674178,157.1755128959199,159.59291756436934,4067900
COST,2018-02-07,163.41085815429688,166.08694619365204,163.3038189883347,164.66862279950286,2594800
COST,2018-02-08,159.32533264160156,164.58829936758852,159.2539686737321,164.58829936758852,3013200
