symbol,date,close,high,low,open,volume
KO,2018-01-02,35.024227142333984,35.33186022119198,35.00115253438966,35.3087885470821,10872200
KO,2018-01-03,34.947322845458984,35.1395946538967,34.87041529561788,34.9857795542145,12635600
KO,2018-01-04,35.439537048339844,35.54720877922174,34.95501132553667,35.03961138089662,12709400
KO,2018-01-05,35.43184280395508,35.531824949392835,35.2164993527056,35.39338903535117,13113100
KO,2018-01-08,35.37800979614258,35.45491733955682,35.28572015727853,35.33955602443545,7068600
KO,2018-01-09,35.554893493652344,35.654875630288004,35.331857548016735,35.37800382657956,9962400
KO,2018-01-10,35.43184280395508,35.577968298183734,35.32417107833034,35.55489662378828,10700700
KO,2018-01-11,35.40876770019531,35.554893180271606,35.27033179956126,35.554893180271606,7583200
KO,2018-01-12,35.49337387084961,35.67795314767152,35.40108129860394,35.593353090030355,14570100
KO,2018-01-16,35.78562545776367,35.85484342114528,35.4856819277216,35.493374442449976,16459300
KO,2018-01-17,36.00865173339844,36.14708762283089,35.80099789924976,35.82407250337781,12143100
KO,2018-01-18,36.0547981262207,36.20092359495305,35.84714429139011,35.95481599822805,11952900
KO,2018-01-19,36.2701530456543,36.33937101255542,36.04711704854681,36.13940962697157,16187400
KO,2018-01-22,36.4393424987793,36.53163211633651,36.216306567001496,36.25476032983083,9577400
KO,2018-01-23,36.493186950683594,36.68545874396029,36.2470792899962,36.308604738250686,11463700
KO,2018-01-24,36.78544616699219,36.87773581951061,36.516263857546974,36.554717634943394,15964500
KO,2018-01-25,36.79313659667969,36.91619044748456,36.685464843954826,36.685464843954826,11755000
KO,2018-01-26,37.323795318603516,37.3930132736484,36.71621875080334,36.74698000450764,16671200
KO,2018-01-29,36.68545913696289,37.269964103898424,36.593169496675124,37.077692308561964,11662600
KO,2018-01-30,36.4624137878418,37.039229025743005,36.45472420889008,36.70852138797292,12404800
KO,2018-01-31,36.60084533691406,36.839263329804915,36.43164528171193,36.49317364136131,10960100
KO,2018-02-01,36.493186950683594,36.708530420326376,36.2316971944739,36.46242275963899,10279400
KO,2018-02-02,35.93943786621094,36.46241730032757,35.86253033394908,36.41627102066988,12912300
KO,2018-02-05,34.52432632446289,36.08557250952896,34.15516479501139,35.87792153295346,23261500
KO,2018-02-06,34.35511016845703,34.40894895019804,33.40913364029908,33.73984123963483,25184300
KO,2018-02-07,34.2705192565918,34.99346001164099,34.05517289228213,34.285901349316354,18041600
KO,2018-02-08,33.14765548706055,34.31666832459875,33.12458381104268,34.31666832459875,23295300
KO,2018-02-09,33.17073440551758,33.42453167618428,32.44779050215014,33.34762412357863,22853100
KO,2018-02-12,33.81675338745117,34.01671469917158,33.355299467287914,33.5014278622315,14689000
KO,2018-02-13,33.9859619140625,34.1551620349094,33.601418318563034,33.77830802043261,13163200
KO,2018-02-14,33.916725158691406,33.98594308488601,33.55525637419353,33.85519974309241,13457900
KO,2018-02-15,34.43971252441406,34.478169218805014,33.93211525709258,34.03209738160808,13467300
KO,2018-02-16,34.593544006347656,35.101141471843285,34.393582613082415,35.04730559927822,17202300
KO,2018-02-20,33.83213806152344,34.47817125201466,33.79368136486466,34.41664288442786,14137300
KO,2018-02-21,33.332244873046875,34.0398038057205,33.324555290663604,33.92444246695953,12792900
KO,2018-02-22,33.470664978027344,33.701390480134414,33.23993947592027,33.40144703401183,12377800
KO,2018-02-23,33.870582580566406,33.88596466826511,33.39374666340636,33.51680336499599,8277200
KO,2018-02-26,33.86289596557617,34.13976772469171,33.69369883909848,34.01671393551077,12713300
KO,2018-02-27,33.547576904296875,34.07824885601736,33.547576904296875,33.95519504315241,12774400
KO,2018-02-28,33.23994064331055,33.77060961017735,33.23994064331055,33.709084176577186,11929400
KO,2018-03-01,33.40145492553711,33.56296252178692,32.9323112979056,33.14765475957201,17746800
KO,2018-03-02,33.624488830566406,33.68601427275244,33.25532737594688,33.26301695603221,14050100
KO,2018-03-05,33.7552375793457,33.79369135353652,33.455294033288425,33.509129903922556,11992700
